,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Prevalencia
211,2.0,0.0,0.0,0.0,0.0,4.0
212,2.0,0.0,0.0,0.0,1.0,2.0
213,2.0,0.0,0.6,0.2,0.6,5.0
214,2.0,0.0,0.0,0.0,1.0,2.0
215,2.0,0.0,0.25,0.0,0.0,4.0
216,2.0,0.0,0.33333,0.0,0.0,6.0
217,2.0,0.0,0.0,0.0,0.0,5.0
218,2.0,0.0,0.33333,0.0,0.0,4.0
219,2.0,0.0,0.28571,0.0,0.35714,4.0
220,2.0,0.0,0.30769,0.0,0.0,2.0
221,2.0,0.0,1.0,0.0,0.0,6.0
222,4.0,0.0,0.07143,0.07143,0.57143,1.0
223,2.0,0.0,0.0,0.0,0.02857,2.0
224,2.0,0.05882,0.08824,0.0,0.29412,5.0
225,4.0,0.0,0.0,0.0,0.0,6.0
226,2.0,0.0,0.0,0.0,0.0,6.0
227,2.0,0.05556,0.05556,0.11111,0.02778,3.0
228,2.0,0.0,0.86667,0.2,0.73333,5.0
229,2.0,0.0,0.0,0.0,0.0,4.0
230,2.0,0.0,0.125,0.0,0.0,2.0
231,2.0,0.0,0.17391,0.0,0.0,5.0
232,2.0,0.0,0.0,0.0,0.0,3.0
233,2.0,0.0,0.78571,0.0,0.0,2.0
234,2.0,0.0,0.0,0.0,0.0,6.0
235,2.0,0.0,0.0,0.0,0.0,6.0
236,2.0,0.0,0.0,0.0,0.0,6.0
237,2.0,0.0,0.08333,0.16667,0.0,6.0
238,2.0,0.0,0.0,0.0,0.125,3.0
239,2.0,0.0,0.53846,0.0,0.15385,2.0
240,2.0,0.0,0.25,0.0,0.25,4.0
241,2.0,0.0,0.0,0.0,0.0,6.0
242,2.0,0.0,0.4,0.0,0.0,6.0
243,2.0,0.0,1.0,0.0,0.0,4.0
244,2.0,0.0,0.09524,0.0,0.04762,4.0
245,2.0,0.0,0.0,0.0,0.0,6.0
246,2.0,0.23077,0.76923,0.15385,0.76923,4.0
247,2.0,0.08333,0.66667,0.0,0.08333,1.0
248,2.0,0.0,0.03846,0.0,0.26923,2.0
249,2.0,0.0,0.0,0.0,0.0,6.0
250,2.0,0.0,0.4,0.0,0.0,5.0
251,2.0,0.0,0.0,0.0,1.0,6.0
252,2.0,0.22222,0.0,0.0,0.11111,5.0
253,2.0,0.0,0.0,0.0,0.05556,6.0
254,2.0,0.0,0.04,0.04,0.0,5.0
255,4.0,0.0137,0.0274,0.0,0.83562,4.0
256,2.0,0.0,0.0,0.0,0.0,5.0
257,2.0,0.0,0.0,0.0,0.0,5.0
258,2.0,0.0,0.0,0.1,0.0,3.0
259,2.0,0.0,0.0,0.0,0.0,4.0
260,2.0,0.09091,0.18182,0.0,0.63636,3.0
261,2.0,0.0,0.0,0.0,0.0,6.0
262,4.0,0.0,0.0,0.54545,0.18182,3.0
263,2.0,0.0,0.0,0.0,0.0,1.0
264,2.0,0.2,0.2,0.1,0.6,2.0
