,MaterialTecho,Habitantes/Vivienda,Fuente_Combustible,Cocina_Exclusiva,Fuente_Agua,Ubicacion_Sanitario,Dormitorios/Vivienda,Cuartos/Vivienda,Tipo_Vivienda,Familias_Usando_Cocina,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Ducha,Basura,MaterialPiso,MaterialPared,Tipo_Sanitarios,Cantidad_Sanitarios,Prevalencia
101,2.0,5.0,3.0,1.0,0.0,1.0,1.77778,3.33333,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.88889,1.0,7.0,0.0,1.0,0.77778,5.0
102,0.0,6.44444,2.0,1.0,0.0,1.0,2.66667,3.66667,1.0,1.11111,2.0,0.0,0.22222,0.0,0.0,1.0,4.0,3.0,2.0,1.0,1.0,4.0
103,0.0,4.9,3.0,0.9,0.0,-1.0,2.3,4.3,1.0,1.0,2.0,0.0,0.1,0.0,0.0,0.6,1.0,7.0,0.0,4.0,0.5,3.0
104,0.0,6.0,4.0,0.8,0.0,1.0,2.9,4.9,1.0,1.4,2.0,0.3,0.3,0.1,0.2,0.8,1.0,3.0,2.0,1.0,1.0,3.0
105,0.0,4.21053,3.0,1.0,0.0,1.0,1.78947,3.31579,1.0,1.0,2.0,0.0,0.26316,0.05263,0.0,0.84211,1.0,3.0,0.0,1.0,0.89474,4.0
106,0.0,6.78571,2.0,1.0,0.0,1.0,2.57143,3.57143,1.0,1.5,2.0,0.0,0.07143,0.0,0.0,0.92857,1.0,3.0,2.0,1.0,0.92857,6.0
107,0.0,5.30769,2.0,1.0,0.0,1.0,2.52564,4.16667,1.0,1.23077,2.0,0.41026,0.41026,0.55128,0.44872,0.66667,1.0,3.0,2.0,1.0,1.01282,5.0
108,0.0,4.94737,3.0,1.0,0.0,1.0,2.78947,3.68421,1.0,1.0,2.0,0.0,0.0,0.0,0.05263,0.94737,1.0,3.0,2.0,1.0,1.0,4.0
109,0.0,4.92857,2.0,1.0,0.0,1.0,2.5,3.64286,1.0,1.03571,2.0,0.03571,0.57143,0.07143,0.14286,0.92857,4.0,2.0,2.0,1.0,1.0,6.0
110,0.0,4.71429,2.0,1.0,0.0,1.0,2.28571,3.14286,1.0,1.0,2.0,0.0,0.14286,0.0,0.14286,1.0,1.0,3.0,2.0,1.0,1.0,4.0
111,0.0,5.28571,3.0,1.0,0.0,1.0,2.39535,3.39535,1.0,1.16279,2.0,0.02326,0.16279,0.02326,0.16279,0.97674,1.0,3.0,2.0,1.0,1.0,5.0
112,3.0,5.13636,3.0,0.86364,0.0,1.0,2.45455,4.59091,1.0,1.09091,2.0,0.09091,0.27273,0.04545,0.0,0.90909,1.0,7.0,1.0,1.0,0.90909,4.0
113,0.0,4.78947,4.0,1.0,0.0,1.0,2.15,3.8,1.0,1.1,2.0,0.1,0.15,0.0,0.0,0.95,1.0,3.0,0.0,1.0,1.0,0.0
114,0.0,4.40741,2.0,1.0,0.0,0.0,2.7037,4.37037,1.0,1.07407,2.0,0.07407,0.14815,0.11111,0.33333,1.0,1.0,2.0,2.0,1.0,1.03704,6.0
115,0.0,4.91667,2.0,1.0,0.0,1.0,2.41667,3.33333,1.0,1.25,2.0,0.0,0.125,0.04167,0.125,0.95833,1.0,2.0,2.0,1.0,0.95833,7.0
