,Uso_Recipiente_Para_Agua,Medidas_Contra_HP,Antesedentes_CG,Antesedentes_Ulceras,Antesedentes_Gastritis,Convivencia_infeccion,Comparten_Cubiero,Comparten_Cepillo,Dias_Ducha,Cepillado,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,LavadoAntesComer,LavadoPostSanitario,Etnia,Prevalencia
108,0.94737,0.05263,0.0,0.05263,0.57895,0.0,0.05263,0.05263,2.0,2.84211,2.0,0.0,0.0,0.0,0.05263,1.0,1.0,3.0,2.0
109,0.64286,0.35714,0.0,0.03571,0.39286,0.03571,0.03571,0.0,2.0,2.92857,2.0,0.03571,0.57143,0.07143,0.14286,1.0,1.0,3.0,3.0
110,0.85714,0.14286,0.0,0.0,0.28571,0.14286,0.0,0.0,2.0,2.85714,2.0,0.0,0.14286,0.0,0.14286,1.0,0.85714,3.0,2.0
111,0.95349,0.06977,0.0,0.0,0.51163,0.09302,0.0,0.0,2.0,2.69767,2.0,0.02326,0.16279,0.02326,0.16279,1.0,0.93023,3.0,2.0
112,0.81818,0.63636,0.09091,0.0,0.13636,0.0,0.04545,0.0,1.86364,2.61905,2.0,0.09091,0.27273,0.04545,0.0,0.86364,0.90909,3.0,2.0
113,0.6,0.2,0.0,0.0,0.45,0.0,0.0,0.0,2.0,2.6,2.0,0.1,0.15,0.0,0.0,1.0,1.0,3.0,0.0
114,0.88889,0.0,0.0,0.0,0.11111,0.03704,0.18519,0.0,2.0,2.77778,2.0,0.07407,0.14815,0.11111,0.33333,1.0,0.92593,3.0,3.0
115,0.875,0.04167,0.0,0.0,0.25,0.04167,0.0,0.04167,2.0,2.70833,2.0,0.0,0.125,0.04167,0.125,0.875,0.95833,3.0,3.0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,2.5,4.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0
117,0.66667,0.0,0.0,0.0,0.33333,0.0,0.0,0.0,1.66667,2.66667,2.0,0.0,0.0,0.0,0.0,1.0,0.66667,0.0,2.0
118,0.83333,0.08333,0.0,0.04167,0.375,0.08333,0.375,0.04167,2.0,2.875,2.0,0.04167,0.33333,0.25,0.45833,1.0,1.0,3.0,1.0
119,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.5,3.0,2.0,0.5,0.5,0.0,0.0,1.0,0.5,3.0,4.0
120,0.76389,0.04167,0.01389,0.01389,0.11111,0.125,0.01389,0.0,2.0,2.94444,2.0,0.0,0.55556,0.0,0.0,1.0,1.0,3.0,2.0
121,0.875,0.25,0.125,0.0,0.375,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.125,0.0,1.0,0.875,3.0,3.0
122,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0
123,0.63636,0.0,0.0,0.0,0.45455,0.09091,0.54545,0.0,2.0,2.90909,2.0,0.0,0.09091,0.0,0.36364,1.0,0.90909,3.0,0.0
124,1.0,0.0,0.0,0.08333,0.25,0.0,0.0,0.0,2.0,2.81818,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0
125,0.57143,0.14286,0.0,0.0,0.14286,0.0,0.0,0.0,2.0,2.85714,5.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0
126,0.875,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.125,2.125,2.0,0.0,0.0,0.0,0.0,0.875,1.0,2.0,3.0
127,0.46154,0.30769,0.07692,0.0,0.23077,0.0,0.07692,0.0,2.0,2.15385,2.0,0.0,0.07692,0.0,0.07692,1.0,1.0,3.0,2.0
128,0.5,0.0,0.0,0.11111,0.05556,0.0,0.05556,0.0,1.83333,2.41176,2.0,0.0,0.27778,0.05556,0.38889,0.94444,0.83333,2.0,3.0
129,0.81429,0.05714,0.0,0.00714,0.2,0.05714,0.0,0.00714,1.98571,2.97857,2.0,0.00714,0.53571,0.01429,0.15,1.0,0.99286,3.0,3.0
130,0.65,0.2,0.0,0.0,0.35,0.0,0.0,0.25,1.95,2.8,2.0,0.0,0.0,0.0,0.7,0.9,1.0,2.0,1.0
131,0.66667,0.0,0.0,0.0,0.66667,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0
132,1.0,0.375,0.0,0.125,0.25,0.75,0.25,0.125,2.0,2.75,2.0,0.125,0.125,0.0,0.0,1.0,1.0,3.0,3.0
133,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0
134,1.0,0.5,0.0,0.07143,0.5,0.07143,0.0,0.0,2.0,2.92857,2.0,0.0,0.42857,0.14286,0.07143,1.0,1.0,3.0,2.0
