,Habitantes/Vivienda,Purificacion,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Prevalencia
299,4.625,2.0,0.0,0.0,0.0,0.0,5.0
300,4.83333,2.0,0.0,0.0,0.0,0.0,5.0
301,4.5,2.0,0.0,0.0,0.0,0.0,8.0
302,4.0,2.0,0.0,1.0,0.0,0.0,9.0
303,3.6087,2.0,0.0,0.0,0.0,0.95652,2.0
304,5.375,2.0,0.0,0.125,0.0,0.0,5.0
305,4.46377,2.0,0.01449,0.13043,0.07246,0.04348,6.0
306,4.8,2.0,0.0,0.0,0.0,0.0,8.0
307,4.0,2.0,0.0,0.5,0.0,0.0,6.0
308,5.0,2.0,0.05263,0.26316,0.10526,0.78947,1.0
