,Mal_Olor,Mal_Color,Mal_Sabor,Sedimentos,Prevalencia
192,0.05714,0.11429,0.08571,0.14286,1.0
193,0.01493,0.20896,0.01493,0.10448,1.0
194,0.5,0.625,0.5,0.0,1.0
195,0.0,0.0,0.0,0.0,2.0
196,0.0,0.0,0.0,0.5,1.0
197,0.03704,0.09259,0.0,0.09259,2.0
198,0.0,0.5,0.0,0.0,2.0
199,0.0,0.28571,0.0,0.42857,1.0
200,0.03333,0.16667,0.0,0.06667,1.0
201,0.0,0.2,0.0,0.0,0.0
202,0.0,0.28571,0.0,0.07143,1.0
203,0.0,0.34831,0.0,0.1573,2.0
204,0.0,0.0,0.0,1.0,2.0
205,0.0,0.0,0.0,0.0,1.0
206,0.0,0.0,0.0,0.0,2.0
207,0.0,0.0,0.0,0.0,0.0
208,0.0,0.05882,0.0,0.94118,2.0
209,0.02609,0.32174,0.01739,0.0087,1.0
210,0.0,0.0,0.0,0.95833,1.0
211,0.0,0.0,0.0,0.0,2.0
212,0.0,0.0,0.0,1.0,1.0
213,0.0,0.6,0.2,0.6,2.0
214,0.0,0.0,0.0,1.0,1.0
215,0.0,0.25,0.0,0.0,2.0
216,0.0,0.33333,0.0,0.0,2.0
217,0.0,0.0,0.0,0.0,2.0
218,0.0,0.33333,0.0,0.0,1.0
219,0.0,0.28571,0.0,0.35714,1.0
220,0.0,0.30769,0.0,0.0,1.0
221,0.0,1.0,0.0,0.0,2.0
222,0.0,0.07143,0.07143,0.57143,0.0
223,0.0,0.0,0.0,0.02857,0.0
224,0.05882,0.08824,0.0,0.29412,2.0
225,0.0,0.0,0.0,0.0,2.0
226,0.0,0.0,0.0,0.0,2.0
227,0.05556,0.05556,0.11111,0.02778,1.0
228,0.0,0.86667,0.2,0.73333,2.0
229,0.0,0.0,0.0,0.0,1.0
230,0.0,0.125,0.0,0.0,1.0
231,0.0,0.17391,0.0,0.0,2.0
232,0.0,0.0,0.0,0.0,1.0
233,0.0,0.78571,0.0,0.0,1.0
234,0.0,0.0,0.0,0.0,2.0
235,0.0,0.0,0.0,0.0,2.0
236,0.0,0.0,0.0,0.0,2.0
237,0.0,0.08333,0.16667,0.0,2.0
238,0.0,0.0,0.0,0.125,1.0
239,0.0,0.53846,0.0,0.15385,1.0
240,0.0,0.25,0.0,0.25,2.0
241,0.0,0.0,0.0,0.0,2.0
242,0.0,0.4,0.0,0.0,2.0
